"x","y","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
-37.75,83.75,0,0,0,0
-37.25,83.75,0,0,0,0
-36.75,83.75,0,0,0,0
-36.25,83.75,0,0,0,0
-35.75,83.75,0,0,0,0
-35.25,83.75,0,0,0,0
-34.75,83.75,0,0,0,0
-34.25,83.75,0,0,0,0
-33.75,83.75,0,0,0,0
-33.25,83.75,0,0,0,0
-32.75,83.75,0,0,0,0
-32.25,83.75,0,0,0,0
-31.75,83.75,0,0,0,0
-31.25,83.75,0,0,0,0
-30.75,83.75,0,0,0,0
-30.25,83.75,0,0,0,0
-29.75,83.75,0,0,0,0
-29.25,83.75,0,0,0,0
-28.75,83.75,0,0,0,0
-72.25,83.25,0,0,0,0
-71.75,83.25,0,0,0,0
-70.75,83.25,0,0,0,0
-70.25,83.25,0,0,0,0
-69.75,83.25,0,0,0,0
-46.75,83.25,0,0,0,0
-46.25,83.25,0,0,0,0
-45.75,83.25,0,0,0,0
-45.25,83.25,0,0,0,0
-44.75,83.25,0,0,0,0
-44.25,83.25,0,0,0,0
-43.75,83.25,0,0,0,0
-43.25,83.25,0,0,0,0
-42.75,83.25,0,0,0,0
-42.25,83.25,0,0,0,0
-41.75,83.25,0,0,0,0
-41.25,83.25,0,0,0,0
-40.75,83.25,0,0,0,0
-40.25,83.25,0,0,0,0
-39.75,83.25,0,0,0,0
-39.25,83.25,0,0,0,0
-38.75,83.25,0,0,0,0
-38.25,83.25,0,0,0,0
-37.75,83.25,0,0,0,0
-37.25,83.25,0,0,0,0
-36.75,83.25,0,0,0,0
-36.25,83.25,0,0,0,0
-35.75,83.25,0,0,0,0
-35.25,83.25,0,0,0,0
-34.75,83.25,0,0,0,0
-34.25,83.25,0,0,0,0
-33.75,83.25,0,0,0,0
-33.25,83.25,0,0,0,0
-32.75,83.25,0,0,0,0
-32.25,83.25,0,0,0,0
-31.75,83.25,0,0,0,0
-31.25,83.25,0,0,0,0
-30.75,83.25,0,0,0,0
-30.25,83.25,0,0,0,0
-29.75,83.25,0,0,0,0
-29.25,83.25,0,0,0,0
-28.75,83.25,0,0,0,0
-28.25,83.25,0,0,0,0
-27.75,83.25,0,0,0,0
-27.25,83.25,0,0,0,0
-26.75,83.25,0,0,0,0
-26.25,83.25,0,0,0,0
-25.75,83.25,0,0,0,0
-25.25,83.25,0,0,0,0
-24.75,83.25,0,0,0,0
-82.25,82.75,0,0,0,0
-81.75,82.75,0,0,0,0
-81.25,82.75,0,0,0,0
-80.75,82.75,0,0,0,0
-80.25,82.75,0,0,0,0
-79.75,82.75,0,0,0,0
-79.25,82.75,0,0,0,0
-78.75,82.75,0,0,0,0
-78.25,82.75,0,0,0,0
-77.75,82.75,0,0,0,0
-77.25,82.75,0,0,0,0
-76.75,82.75,0,0,0,0
-76.25,82.75,0,0,0,0
-75.75,82.75,0,0,0,0
-75.25,82.75,0,0,0,0
-74.75,82.75,0,0,0,0
-74.25,82.75,0,0,0,0
-73.75,82.75,0,0,0,0
-73.25,82.75,0,0,0,0
-72.75,82.75,0,0,0,0
-72.25,82.75,0,0,0,0
-71.75,82.75,0,0,0,0
-71.25,82.75,0,0,0,0
-70.75,82.75,0,0,0,0
-70.25,82.75,0,0,0,0
-69.75,82.75,0,0,0,0
-69.25,82.75,0,0,0,0
-68.75,82.75,0,0,0,0
-68.25,82.75,0,0,0,0
-67.75,82.75,0,0,0,0
-67.25,82.75,0,0,0,0
-66.75,82.75,0,0,0,0
-66.25,82.75,0,0,0,0
-65.75,82.75,0,0,0,0
-65.25,82.75,0,0,0,0
-64.75,82.75,0,0,0,0
-64.25,82.75,0,0,0,0
-63.75,82.75,0,0,0,0
-63.25,82.75,0,0,0,0
-62.25,82.75,0,0,0,0
-49.75,82.75,0,0,0,0
-49.25,82.75,0,0,0,0
-48.75,82.75,0,0,0,0
-48.25,82.75,0,0,0,0
-47.75,82.75,0,0,0,0
-47.25,82.75,0,0,0,0
-46.75,82.75,0,0,0,0
-46.25,82.75,0,0,0,0
-45.75,82.75,0,0,0,0
-45.25,82.75,0,0,0,0
-44.75,82.75,0,0,0,0
-44.25,82.75,0,0,0,0
-43.75,82.75,0,0,0,0
-43.25,82.75,0,0,0,0
-42.75,82.75,0,0,0,0
-42.25,82.75,0,0,0,0
-41.75,82.75,0,0,0,0
-41.25,82.75,0,0,0,0
-40.75,82.75,0,0,0,0
-40.25,82.75,0,0,0,0
-39.75,82.75,0,0,0,0
-39.25,82.75,0,0,0,0
-38.75,82.75,0,0,0,0
-38.25,82.75,0,0,0,0
-37.75,82.75,0,0,0,0
-37.25,82.75,0,0,0,0
-36.75,82.75,0,0,0,0
-36.25,82.75,0,0,0,0
-35.75,82.75,0,0,0,0
-35.25,82.75,0,0,0,0
-34.75,82.75,0,0,0,0
-34.25,82.75,0,0,0,0
-33.75,82.75,0,0,0,0
-33.25,82.75,0,0,0,0
-32.75,82.75,0,0,0,0
-32.25,82.75,0,0,0,0
-31.75,82.75,0,0,0,0
-31.25,82.75,0,0,0,0
-30.75,82.75,0,0,0,0
-30.25,82.75,0,0,0,0
-29.75,82.75,0,0,0,0
-29.25,82.75,0,0,0,0
-28.75,82.75,0,0,0,0
-28.25,82.75,0,0,0,0
-27.75,82.75,0,0,0,0
-27.25,82.75,0,0,0,0
-26.75,82.75,0,0,0,0
-26.25,82.75,0,0,0,0
-25.75,82.75,0,0,0,0
-25.25,82.75,0,0,0,0
-24.75,82.75,0,0,0,0
-24.25,82.75,0,0,0,0
-23.75,82.75,0,0,0,0
-23.25,82.75,0,0,0,0
-22.75,82.75,0,0,0,0
-22.25,82.75,0,0,0,0
-21.75,82.75,0,0,0,0
-21.25,82.75,0,0,0,0
-88.25,82.25,0,0,0,0
-87.75,82.25,0,0,0,0
-86.75,82.25,0,0,0,0
-86.25,82.25,0,0,0,0
-85.75,82.25,0,0,0,0
-85.25,82.25,0,0,0,0
-84.75,82.25,0,0,0,0
-84.25,82.25,0,0,0,0
-83.75,82.25,0,0,0,0
-83.25,82.25,0,0,0,0
-82.75,82.25,0,0,0,0
-82.25,82.25,0,0,0,0
-81.75,82.25,0,0,0,0
-81.25,82.25,0,0,0,0
-80.75,82.25,0,0,0,0
-80.25,82.25,0,0,0,0
-79.75,82.25,0,0,0,0
-79.25,82.25,0,0,0,0
-78.75,82.25,0,0,0,0
-78.25,82.25,0,0,0,0
-77.75,82.25,0,0,0,0
-77.25,82.25,0,0,0,0
-76.75,82.25,0,0,0,0
-76.25,82.25,0,0,0,0
-75.75,82.25,0,0,0,0
-75.25,82.25,0,0,0,0
-74.75,82.25,0,0,0,0
-74.25,82.25,0,0,0,0
-73.75,82.25,0,0,0,0
-73.25,82.25,0,0,0,0
-72.75,82.25,0,0,0,0
-72.25,82.25,0,0,0,0
-71.75,82.25,0,0,0,0
-71.25,82.25,0,0,0,0
-70.75,82.25,0,0,0,0
-70.25,82.25,0,0,0,0
-69.75,82.25,0,0,0,0
-69.25,82.25,0,0,0,0
-68.75,82.25,0,0,0,0
-68.25,82.25,0,0,0,0
-67.75,82.25,0,0,0,0
-67.25,82.25,0,0,0,0
-66.75,82.25,0,0,0,0
-66.25,82.25,0,0,0,0
-65.75,82.25,0,0,0,0
-65.25,82.25,0,0,0,0
-64.75,82.25,0,0,0,0
-64.25,82.25,0,0,0,0
-63.75,82.25,0,0,0,0
-63.25,82.25,0,0,0,0
-62.75,82.25,0,0,0,0
-62.25,82.25,0,0,0,0
-61.75,82.25,0,0,0,0
-61.25,82.25,0,0,0,0
-59.75,82.25,0,0,0,0
-58.75,82.25,0,0,0,0
-58.25,82.25,0,0,0,0
-57.75,82.25,0,0,0,0
-57.25,82.25,0,0,0,0
-56.75,82.25,0,0,0,0
-56.25,82.25,0,0,0,0
-55.75,82.25,0,0,0,0
-55.25,82.25,0,0,0,0
-54.75,82.25,0,0,0,0
-54.25,82.25,0,0,0,0
-53.75,82.25,0,0,0,0
-53.25,82.25,0,0,0,0
-52.75,82.25,0,0,0,0
-52.25,82.25,0,0,0,0
-51.75,82.25,0,0,0,0
-51.25,82.25,0,0,0,0
-50.75,82.25,0,0,0,0
-50.25,82.25,0,0,0,0
-49.75,82.25,0,0,0,0
-49.25,82.25,0,0,0,0
-48.75,82.25,0,0,0,0
-48.25,82.25,0,0,0,0
-47.75,82.25,0,0,0,0
-47.25,82.25,0,0,0,0
-46.75,82.25,0,0,0,0
-46.25,82.25,0,0,0,0
-45.75,82.25,0,0,0,0
-45.25,82.25,0,0,0,0
-44.75,82.25,0,0,0,0
-44.25,82.25,0,0,0,0
-43.75,82.25,0,0,0,0
-43.25,82.25,0,0,0,0
-42.75,82.25,0,0,0,0
-42.25,82.25,0,0,0,0
-41.75,82.25,0,0,0,0
-41.25,82.25,0,0,0,0
-40.75,82.25,0,0,0,0
-40.25,82.25,0,0,0,0
-39.75,82.25,0,0,0,0
-39.25,82.25,0,0,0,0
-38.75,82.25,0,0,0,0
-38.25,82.25,0,0,0,0
-37.75,82.25,0,0,0,0
-37.25,82.25,0,0,0,0
-36.75,82.25,0,0,0,0
-36.25,82.25,0,0,0,0
-35.75,82.25,0,0,0,0
-35.25,82.25,0,0,0,0
-34.75,82.25,0,0,0,0
-34.25,82.25,0,0,0,0
-33.75,82.25,0,0,0,0
-33.25,82.25,0,0,0,0
-32.75,82.25,0,0,0,0
-32.25,82.25,0,0,0,0
-31.75,82.25,0,0,0,0
-31.25,82.25,0,0,0,0
-30.75,82.25,0,0,0,0
-30.25,82.25,0,0,0,0
-29.75,82.25,0,0,0,0
-29.25,82.25,0,0,0,0
-28.75,82.25,0,0,0,0
-28.25,82.25,0,0,0,0
-27.75,82.25,0,0,0,0
-27.25,82.25,0,0,0,0
-26.75,82.25,0,0,0,0
-26.25,82.25,0,0,0,0
-25.75,82.25,0,0,0,0
-25.25,82.25,0,0,0,0
-24.75,82.25,0,0,0,0
-24.25,82.25,0,0,0,0
-23.75,82.25,0,0,0,0
-23.25,82.25,0,0,0,0
-22.75,82.25,0,0,0,0
-22.25,82.25,0,0,0,0
-21.75,82.25,0,0,0,0
-21.25,82.25,0,0,0,0
-20.75,82.25,0,0,0,0
-20.25,82.25,0,0,0,0
-19.75,82.25,0,0,0,0
-19.25,82.25,0,0,0,0
-91.75,81.75,0,0,0,0
-91.25,81.75,0,0,0,0
-90.75,81.75,0,0,0,0
-90.25,81.75,0,0,0,0
-89.75,81.75,0,0,0,0
-89.25,81.75,0,0,0,0
-88.75,81.75,0,0,0,0
-88.25,81.75,0,0,0,0
-87.75,81.75,0,0,0,0
-87.25,81.75,0,0,0,0
-86.75,81.75,0,0,0,0
-86.25,81.75,0,0,0,0
-85.75,81.75,0,0,0,0
-85.25,81.75,0,0,0,0
-84.75,81.75,0,0,0,0
-84.25,81.75,0,0,0,0
-83.75,81.75,0,0,0,0
-83.25,81.75,0,0,0,0
-82.75,81.75,0,0,0,0
-82.25,81.75,0,0,0,0
-81.75,81.75,0,0,0,0
-81.25,81.75,0,0,0,0
-80.75,81.75,0,0,0,0
-80.25,81.75,0,0,0,0
-79.75,81.75,0,0,0,0
-79.25,81.75,0,0,0,0
-78.75,81.75,0,0,0,0
-78.25,81.75,0,0,0,0
-77.75,81.75,0,0,0,0
-77.25,81.75,0,0,0,0
-76.75,81.75,0,0,0,0
-76.25,81.75,0,0,0,0
-75.75,81.75,0,0,0,0
-75.25,81.75,0,0,0,0
-74.75,81.75,0,0,0,0
-74.25,81.75,0,0,0,0
-73.75,81.75,0,0,0,0
-73.25,81.75,0,0,0,0
-72.75,81.75,0,0,0,0
-72.25,81.75,0,0,0,0
-71.75,81.75,0,0,0,0
-71.25,81.75,0,0,0,0
-70.75,81.75,0,0,0,0
-70.25,81.75,0,0,0,0
-69.75,81.75,0,0,0,0
-69.25,81.75,0,0,0,0
-68.75,81.75,0,0,0,0
-68.25,81.75,0,0,0,0
-67.75,81.75,0,0,0,0
-67.25,81.75,0,0,0,0
-66.75,81.75,0,0,0,0
-66.25,81.75,0,0,0,0
-65.75,81.75,0,0,0,0
-65.25,81.75,0,0,0,0
-64.75,81.75,0,0,0,0
-64.25,81.75,0,0,0,0
-63.75,81.75,0,0,0,0
-63.25,81.75,0,0,0,0
-62.75,81.75,0,0,0,0
-61.75,81.75,0,0,0,0
-61.25,81.75,0,0,0,0
-60.75,81.75,0,0,0,0
-60.25,81.75,0,0,0,0
-59.75,81.75,0,0,0,0
-59.25,81.75,0,0,0,0
-58.75,81.75,0,0,0,0
-58.25,81.75,0,0,0,0
-57.75,81.75,0,0,0,0
-57.25,81.75,0,0,0,0
-56.75,81.75,0,0,0,0
-56.25,81.75,0,0,0,0
-55.75,81.75,0,0,0,0
-55.25,81.75,0,0,0,0
-54.75,81.75,0,0,0,0
-54.25,81.75,0,0,0,0
-53.75,81.75,0,0,0,0
-53.25,81.75,0,0,0,0
-52.75,81.75,0,0,0,0
-52.25,81.75,0,0,0,0
-51.75,81.75,0,0,0,0
-51.25,81.75,0,0,0,0
-50.75,81.75,0,0,0,0
-50.25,81.75,0,0,0,0
-49.75,81.75,0,0,0,0
-49.25,81.75,0,0,0,0
-48.75,81.75,0,0,0,0
-48.25,81.75,0,0,0,0
-47.75,81.75,0,0,0,0
-47.25,81.75,0,0,0,0
-46.75,81.75,0,0,0,0
-46.25,81.75,0,0,0,0
-45.75,81.75,0,0,0,0
-45.25,81.75,0,0,0,0
-44.75,81.75,0,0,0,0
-44.25,81.75,0,0,0,0
-43.75,81.75,0,0,0,0
